XYXyxY,XXXyXYYxyxyxY,r2,0,3,False
XXyxYxY,XXYxYYYxYXY,r2,0,9,True
XXYxY,XXyxYYxYXY,r2,0,8,True
XXyxY,XXXXYXYYYXyXyXy,r2,0,9,True
XXyxY,XXXyxxYxYXyxy,r2,1,5,True
XYXyxY,XXXXyxYYXYxxy,r2,0,7,True
XYYxYXyyyy,XXyyxYYXyyy,r2,1,0,True
XYXyxY,XXXXYxxYxyyXY,r2,2,6,False
XXyxY,XXXyXYxxxyxyxY,r2,0,0,True
XXYXY,XXXXYxxxYXy,r2,2,5,True
XXXXYXyXYxyxY,XXYxyxYXyXYxy,r2,2,0,True
XXyxY,XXyyXyXYxyXYxY,r2,0,0,True
XXyxY,XXYxyyyyyXYxYY,r2,0,6,False
XYxYYxY,XYYxYxYY,r2,0,7,True
XXyxyXyXy,XXYxYxYxYxy,r2,0,7,False
XXYXYXY,XXXXyXYXYYYxY,r2,2,9,True
XXyxY,XXXXyyXXYXXyXY,r2,0,9,True
XXXyXYxy,XXXYxYxyXyXXy,r2,0,0,True
XXyxY,XYXYYxYYxyyyy,r2,0,1,False
XXyxY,XXXYXYYXyxxyyy,r2,1,10,True
XXYxY,XXXyxyyxyyxxYY,r2,2,5,False
XYXyxY,XXYxYXyXYXYxY,r2,1,12,False
XXyxY,XXXYxyXYxxyXXy,r2,0,4,False
XXYxY,XXXYxyyxYxY,r2,0,0,True
XXXXYXY,XXyXYYYxy,r2,0,1,False
XXYXY,XXXXyXYxyxxYY,r2,1,6,False
XXYXXYXY,XXYXXyyxxYY,r2,0,0,True
XYXyxy,XXXXYxyxyxxxY,r2,1,10,True
XXyxY,XXXYYxyyxYxyxY,r2,0,0,True
XXyxY,XXyyxyXYXyXYY,r2,0,8,False
XYXyxY,XXYYXXYxYxyxy,r2,0,1,False
XXYxxyXY,XXXYXYxxY,r1,1,2,False
XYXyxY,XXXYYXYYXYYXy,r2,2,0,True
XXyxY,XYXyyyyXYxYYY,r2,0,7,False
XYYxy,XYXyxyyyyy,r2,0,9,False
XYXyxY,XXXYxYYYxYXyxyy,r2,0,2,False
XYXyxY,XXYXYxyyXyxxY,r2,1,10,False
XXyxY,XXYXXyyxyXXYYY,r2,0,3,True
XXYXYXY,XXyyxYXYYYxy,r2,0,8,True
XXYYxxy,XXyXyxYxy,r1,0,0,True
XXyxY,XXYXyxYYxyyxxy,r2,0,7,True
XYXyxY,XXXyXYYXYYXYY,r2,0,7,True
XXXYXXyxxY,XXXXYxxyXXY,r2,1,9,False
XXYxY,XXYxyyxyxYXYXY,r2,0,0,True
XXYXYXY,XXXYYYxyxy,r2,0,3,False
XYXyxY,XXYYXYYxyxYXXyy,r2,2,9,False
XXyyXYYY,XXYYxyyXY,r2,2,0,True
XXyxY,XXyyyyXYYYxYXY,r2,0,0,True
XYXyxY,XXXYxyXYxYxxy,r2,1,11,False
XXyxY,XXXXYXyxyxYXXy,r2,0,11,True
XXYxY,XYYYYXYxyXy,r2,0,3,False
XXYYxxy,XXXXyxxyyyxY,r2,0,1,True
XXyxY,XXXYYYXyxxyXyy,r2,1,9,True
XXYXY,XXYXyxyXYXYYXY,r2,0,0,True
XXYxY,XXXyXYXYYxxxY,r2,0,0,True
XYXyxY,XXYYxyxYxyyXY,r2,2,10,False
XYYYYYYYXyxY,XYYYYYYXYYYxy,r2,0,7,True
